# Especificación del dataset: 9 organismos, 3 por reino, cada uno con un
# BioProject primario (descubrimiento) y uno duplicado (validación independiente).
# Entrada de gen_manifest.sh, que resuelve estos accessions a corridas vía ENA.
# runs y spots_M son los valores DECLARADOS; gen_manifest.sh los verifica.
# assembly: pendiente de fijar para los 6 organismos nuevos — no inventar.
# set_modelo: entrenamiento solo donde el positivo es curado por MirGeneDB
#   (gadmo, galga, maggi). El resto es aplicacion: se predice, NO se entrena.
#   Entrenar sobre 'aplicacion' mete falsos positivos de miRBase en la clase
#   que PU learning asume limpia. Ver docs/positivos.md.
org	especie	reino	clado	rol	bioproject	runs	spots_M	strategy	assembly	nota	set_modelo
rhirr	Rhizophagus irregularis	Fungi	Glomeromycota	primario	PRJEB29180	9	230	miRNA-Seq	ASM43914v3	SmallRNAome; runs/spots desde el manifiesto anterior	aplicacion
rhirr	Rhizophagus irregularis	Fungi	Glomeromycota	duplicado	PRJNA722321	14	129	miRNA-Seq	ASM43914v3	Dallaire 2021	aplicacion
sclsc	Sclerotinia sclerotiorum	Fungi	Ascomycota	primario	PRJNA477286	18	184	miRNA-Seq	ASM14694v1	Infección en Arabidopsis y Phaseolus	aplicacion
sclsc	Sclerotinia sclerotiorum	Fungi	Ascomycota	duplicado	PRJNA1135930	2	32	ncRNA-Seq	ASM14694v1	Reemplaza a PRJNA985401, que era RNA-Seq PAIRED y caia entero en el filtro, dejando a sclsc sin set de validacion. Verificado con perfil: 98% de adaptador, inserto modal 22 nt, 97% dentro de la ventana 15-50 nt. Son 2 corridas, 32.4 M spots (SRR31851668 12.4 M y SRR31851669 20.0 M): al elegirlo se habia anotado 1 corrida a partir de una consulta previa, y el manifiesto resuelto contra la ENA devolvio 2. Sigue siendo el duplicado mas chico de los 9 —la mediana esta en 23 corridas— asi que la validacion de sclsc es la mas debil del set, pero no tanto como se habia declarado. El otro candidato con estrategia de sRNA, PRJNA379694 (6 corridas, 758 M spots), se descarto: perfil dio 1% de adaptador con reads de 100 nt e insertos de 71-87 nt. Estaba etiquetado miRNA-Seq y es mRNA.	aplicacion
cloro	Clonostachys rosea	Fungi	Ascomycota	primario	PRJEB43636	34	530	ncRNA-Seq	PENDIENTE	Mutantes Dicer-like	aplicacion
cloro	Clonostachys rosea	Fungi	Ascomycota	duplicado	PRJEB51338	23	1052	miRNA-Seq	PENDIENTE	sRNA + degradome	aplicacion
phypa	Physcomitrium patens	Plantae	Briofita	primario	PRJNA222997	30	644	RNA-Seq	Phypa_V3	RNA-Seq con fraccionamiento por tamaño, no miRNA-Seq	aplicacion
phypa	Physcomitrium patens	Plantae	Briofita	duplicado	PRJNA277372	10	86	miRNA-Seq	Phypa_V3	miRNA-Seq puro	aplicacion
prupe	Prunus persica	Plantae	Rosácea	primario	PRJNA929031	9	124	miRNA-Seq	PENDIENTE		aplicacion
prupe	Prunus persica	Plantae	Rosácea	duplicado	PRJNA780811	5	144	miRNA-Seq	PENDIENTE		aplicacion
maldo	Malus domestica	Plantae	Rosácea	primario	PRJNA681626	36	858	miRNA-Seq	PENDIENTE		aplicacion
maldo	Malus domestica	Plantae	Rosácea	duplicado	PRJNA784097	29	347	miRNA-Seq	PENDIENTE	Reads de 151 nt: revisar pre-trim antes de fastp	aplicacion
gadmo	Gadus morhua	Animalia	Vertebrado (pez)	primario	PRJNA284846	8	62	miRNA-Seq	PENDIENTE	Declarado por MirGeneDB	entrenamiento
gadmo	Gadus morhua	Animalia	Vertebrado (pez)	duplicado	PRJNA328800	12	73	miRNA-Seq	PENDIENTE		entrenamiento
galga	Gallus gallus	Animalia	Vertebrado (ave)	primario	PRJEB12164	27	32	miRNA-Seq	PENDIENTE	Declarado por MirGeneDB; solo 32 M spots en 27 runs	entrenamiento
galga	Gallus gallus	Animalia	Vertebrado (ave)	duplicado	PRJNA694114	96	1609	ncRNA-Seq	PENDIENTE	Era primario en R1; queda como refuerzo	entrenamiento
maggi	Magallana gigas	Animalia	Invertebrado (molusco)	primario	PRJNA154615	NA	NA	miRNA-Seq	PENDIENTE	Con PRJNA232734: 24 runs y ~353 M spots combinados; ambos MirGeneDB	entrenamiento
maggi	Magallana gigas	Animalia	Invertebrado (molusco)	primario	PRJNA232734	NA	NA	miRNA-Seq	PENDIENTE	Ver PRJNA154615	entrenamiento
maggi	Magallana gigas	Animalia	Invertebrado (molusco)	duplicado	PRJNA1254880	33	456	miRNA-Seq	PENDIENTE	El más profundo no declarado por MirGeneDB	entrenamiento
